time,LUPA_gyr_x,LUPA_gyr_y,LUPA_gyr_z,LUPA_acc_x,LUPA_acc_y,LUPA_acc_z,LUPA_mag_x,LUPA_mag_y,LUPA_mag_z
393.5,-4.5166015625,-4.57763671875,2.25830078125,0.7914059877315592,-0.2638019959105197,-0.5747245704519791,-8.5,31.0625,12.0625
394.0,0.732421875,0.91552734375,0.0,0.7846919156468398,-0.2541581469161046,-0.5500656147953734,-9.875,30.6875,9.8125
394.5,-0.8544921875,0.244140625,-0.6103515625,0.7928708761864071,-0.271248512222663,-0.5407879879146702,-9.5,32.0625,9.8125
395.0,0.3662109375,1.0986328125,-1.0986328125,0.7998290963469344,-0.2534257026886807,-0.5317545091097751,-9.875,33.1875,8.0625
395.5,1.8310546875,1.03759765625,-0.91552734375,0.7920163579210792,-0.2634357737968077,-0.5518967253639332,11.3125,36.0625,6.6875
396.0,0.732421875,1.15966796875,-0.244140625,0.7904293954283272,-0.2601397747734,-0.5378582110049746,20.125,30.6875,-1.25
396.5,-0.67138671875,-0.48828125,0.42724609375,0.7958006530961028,-0.2540360728782006,-0.5330973235267189,5.3125,36.0625,4.5
397.0,-6.34765625,-55.96923828125,65.49072265625,0.7080294198431348,-0.4701071199682607,-0.6318552201910459,-13.25,29.9375,5.8125
397.5,-3.11279296875,-33.26416015625,57.31201171875,0.0584734641560106,-0.63136692403943,-0.6447950682088687,-14.625,28.125,5.8125
398.0,-6.65283203125,4.57763671875,-9.1552734375,-0.1925107577745902,-0.684102908413953,-0.5191808832056642,-12.875,30.3125,6.6875
398.5,-33.69140625,49.01123046875,-111.26708984375,0.6618854335154271,-0.6175725577562792,-0.7046113467818231,-13.5625,31.0625,5.375
399.0,1.64794921875,-1.89208984375,-3.7841796875,0.8529313028351695,-0.1859187597277748,-0.41285439619129,-13.25,29.9375,3.125
399.5,0.18310546875,1.5869140625,0.3662109375,0.8651387066255684,-0.1746879482406079,-0.4166386913663136,-13.5625,29.5625,4.5
400.0,-1.220703125,0.8544921875,-0.91552734375,0.8777123325296793,-0.1853083895382549,-0.4306772057252723,-13.9375,29.9375,4.9375
400.5,0.6103515625,0.18310546875,-0.18310546875,0.8784447767571032,-0.1861629078035828,-0.4299447614978484,-8.8125,32.0625,16.0
401.0,0.30517578125,-0.48828125,-0.67138671875,0.8817407757805109,-0.1895809808648945,-0.4311655018768883,6.9375,31.0625,20.9375
401.5,0.1220703125,-0.42724609375,0.06103515625,0.8823511459700308,-0.1793267616809595,-0.4272591326639607,6.3125,31.375,24.0
402.0,0.48828125,-1.8310546875,1.52587890625,0.8923612170781579,-0.1900692770165105,-0.4397106845301675,6.0,31.75,21.75
