time,SACR_gyr_x,SACR_gyr_y,SACR_gyr_z,SACR_acc_x,SACR_acc_y,SACR_acc_z,SACR_mag_x,SACR_mag_y,SACR_mag_z
176.5,0.18310546875,-0.06103515625,0.0,0.9642628254036072,-0.0056154057435834,0.2415845210119937,-32.3125,-0.375,-36.9375
177.0,0.06103515625,-0.06103515625,-0.1220703125,0.9632862331003754,-0.0050050355540635,0.239265114291818,-32.6875,1.5,-38.5625
177.5,0.0,0.18310546875,-0.1220703125,0.9654835657826472,-0.0057374797814874,0.2429273354289376,-32.3125,-2.25,-38.1875
178.0,0.30517578125,0.06103515625,-0.06103515625,0.9646290475173191,-0.0065919980468153,0.2443922238837855,-32.3125,1.125,-38.625
178.5,-0.30517578125,0.30517578125,-0.06103515625,0.9653614917447432,-0.0036622211371196,0.2429273354289376,-33.4375,0.75,-37.8125
179.0,0.1220703125,0.1220703125,0.0,0.9648731955931272,-0.0014648884548478,0.2418286690878017,-33.0625,0.375,-37.375
179.5,0.06103515625,0.1220703125,-0.18310546875,0.9652394177068392,-0.0062257759331034,0.238654744102298,-32.3125,-0.75,-38.625
180.0,-0.30517578125,0.244140625,-0.1220703125,0.9654835657826472,-0.0048829615161595,0.2430494094668416,-33.4375,-2.625,-37.375
180.5,0.06103515625,0.06103515625,0.1220703125,0.9643848994415112,-0.0040284432508316,0.2446363719595934,-33.0625,-1.875,-39.0
181.0,0.0,0.30517578125,-0.1220703125,0.9632862331003754,-0.0052491836298715,0.2414624469740897,-34.875,0.375,-39.0
181.5,0.0,0.1220703125,-0.06103515625,0.9643848994415112,-0.0050050355540635,0.2412182988982818,-32.3125,0.0,-36.5625
182.0,0.0,0.1220703125,-0.1220703125,0.9641407513657032,-0.0057374797814874,0.2415845210119937,-33.8125,0.375,-39.4375
182.5,0.244140625,0.0,-0.1220703125,0.9631641590624714,-0.0057374797814874,0.2425611133152256,-33.4375,-0.75,-38.625
183.0,0.3662109375,-0.06103515625,-0.1220703125,0.9640186773277992,-0.0058595538193914,0.2395092623676259,-33.0625,-1.4375,-38.1875
183.5,0.244140625,0.0,-0.18310546875,0.9640186773277992,-0.0072023682363353,0.2412182988982818,-32.3125,-0.375,-36.9375
184.0,0.0,0.06103515625,0.0,0.9660939359721672,-0.0057374797814874,0.2408520767845698,-31.9375,1.125,-35.3125
184.5,0.06103515625,0.1220703125,0.06103515625,0.9657277138584552,-0.0056154057435834,0.2442701498458815,-33.8125,-0.75,-39.8125
185.0,-0.18310546875,0.1220703125,-0.1220703125,0.9660939359721672,-0.0045167394024475,0.2407300027466658,-33.8125,0.0,-37.0
185.5,0.54931640625,-0.06103515625,-0.18310546875,0.9642628254036072,-0.010620441297647,0.2426831873531296,-34.875,0.75,-35.75
186.0,-1.0986328125,1.3427734375,0.6103515625,0.9652394177068392,-0.0058595538193914,0.2420728171636097,-32.3125,-0.75,-34.875
186.5,0.0,-0.06103515625,-0.18310546875,0.9640186773277992,-0.010742515335551,0.238654744102298,-32.6875,-1.0625,-37.8125
187.0,-0.18310546875,0.0,-0.30517578125,0.967925046540727,-0.0114749595629749,0.2421948912015137,-32.6875,-1.4375,-38.1875
187.5,0.3662109375,0.1220703125,-0.18310546875,0.9654835657826472,-0.0090334788048951,0.2408520767845698,-33.0625,-0.375,-40.25
188.0,-0.30517578125,0.42724609375,-0.18310546875,0.9648731955931272,-0.010132145146031,0.2428052613910336,-33.0625,-0.375,-34.875
188.5,0.0,0.0,-0.18310546875,0.9642628254036072,-0.0112308114871669,0.2445142979216895,-33.0625,-0.375,-39.4375
189.0,0.1220703125,0.1220703125,-0.1220703125,0.9653614917447432,-0.0092776268807031,0.2453688161870174,-34.5,0.75,-39.4375
189.5,0.1220703125,-0.06103515625,-0.06103515625,0.9637745292519914,-0.010010071108127,0.2445142979216895,-31.3125,-0.375,-40.625
190.0,0.0,0.18310546875,-0.1220703125,0.9652394177068392,-0.0089114047669911,0.2419507431257057,-34.125,0.0,-33.6875
190.5,0.54931640625,-0.244140625,-0.06103515625,0.9651173436689352,-0.0122074037903988,0.2452467421491134,-32.6875,0.0,-36.125
191.0,4.2724609375,-2.62451171875,0.1220703125,0.9614551225318156,-0.0008545182653279,0.2447584459974975,-30.9375,-0.75,-40.625
191.5,-1.46484375,0.06103515625,-0.54931640625,0.9581591235084078,-0.0444349497970519,0.2237617114780114,-32.3125,0.0,-37.8125
192.0,-1.52587890625,0.06103515625,0.8544921875,0.956572161015656,-0.0144047364726706,0.2041077913754692,-33.4375,1.5,-36.9375
192.5,0.18310546875,-0.9765625,-0.67138671875,0.957182531205176,-0.0231940672017578,0.2403637806329538,-33.0625,-0.375,-41.4375
193.0,1.64794921875,-2.99072265625,0.3662109375,0.9621875667592394,-0.0124515518662068,0.2535477767265847,-33.8125,0.375,-37.75
193.5,2.38037109375,-2.25830078125,-0.48828125,0.9625537888729514,-0.0045167394024475,0.23902096621601,-33.8125,0.0,-37.375
194.0,-1.708984375,1.52587890625,0.48828125,0.9606006042664876,-0.0128177739799188,0.23902096621601,-33.8125,0.0,-35.75
194.5,-0.732421875,0.79345703125,-0.42724609375,0.9609668263801996,-0.0187994018372142,0.271248512222663,-32.3125,1.5,-38.625
195.0,0.30517578125,0.3662109375,0.42724609375,0.9604785302285836,-0.0196539201025421,0.2579424420911282,-33.0625,0.0,-35.3125
195.5,0.244140625,-1.64794921875,0.06103515625,0.9627979369487594,-0.0163579210791344,0.2402417065950499,-31.6875,0.375,-38.1875
196.0,0.48828125,-0.3662109375,-0.6103515625,0.9658497878963592,-0.0273445844904934,0.2371898556474501,-32.3125,-1.4375,-36.9375
196.5,-1.3427734375,1.40380859375,1.15966796875,0.9615771965697196,-0.0235602893154698,0.2536698507644886,-33.4375,1.5,-36.9375
197.0,0.0,0.18310546875,0.06103515625,0.9610889004181036,-0.0234382152775658,0.250129703665273,-33.8125,-0.75,-36.5625
197.5,0.48828125,0.18310546875,-0.91552734375,0.9590136417737358,-0.02111880855739,0.2360911893063143,-32.3125,2.6875,-39.4375
198.0,-0.06103515625,0.0,-0.06103515625,0.9620654927213356,-0.0258796960356456,0.2551347392193365,-33.0625,0.0,-38.625
