time,C7_gyr_x,C7_gyr_y,C7_gyr_z,C7_acc_x,C7_acc_y,C7_acc_z,C7_mag_x,C7_mag_y,C7_mag_z
36.0,23.13232421875,6.7138671875,-6.04248046875,-0.9884334849085972,-0.0058595538193914,-0.184698019348735,21.875,12.5625,-14.25
36.5,-3.0517578125,-1.46484375,1.15966796875,-0.9645069734794152,-0.1253700369273964,-0.2116763817255165,22.5625,11.4375,-12.5
37.0,7.14111328125,5.2490234375,-0.67138671875,-0.9753715628528704,-0.107669301431318,-0.2150944547868282,22.1875,12.5625,-13.375
37.5,-8.11767578125,-1.708984375,-0.732421875,-0.955717642750328,-0.1212195196386608,-0.2595294045838801,21.5,11.0625,-11.75
38.0,13.0615234375,5.7373046875,-8.11767578125,-0.9803765984069338,-0.053712576677755,-0.2307199316385387,22.1875,11.8125,-12.125
38.5,-0.6103515625,-1.03759765625,-1.5869140625,-0.9442426831873532,-0.1492965483565782,-0.2852870265816217,22.1875,12.1875,-13.0
39.0,0.3662109375,0.06103515625,0.244140625,-0.9392376476332897,-0.1463667714468825,-0.2979827265236366,21.875,14.4375,-10.4375
39.5,-3.7841796875,-2.197265625,2.44140625,-0.945707571642201,-0.1431928464613788,-0.3031098361156041,23.25,13.6875,-10.4375
40.0,-6.28662109375,0.48828125,-6.65283203125,-0.9461958677938168,-0.152226325266274,-0.2692953276161992,22.5625,16.6875,-9.5625
40.5,2.86865234375,-1.953125,6.9580078125,-0.9428998687704092,-0.1118198187200537,-0.2879726554155095,22.5625,14.0625,-9.5625
41.0,-0.91552734375,-2.9296875,-2.74658203125,-0.9319132053590504,-0.162968840601825,-0.3161717581713309,22.1875,13.6875,-15.5
41.5,0.1220703125,0.79345703125,0.54931640625,-0.9538865321817682,-0.1339152195806756,-0.250129703665273,22.9375,15.9375,-14.6875
42.0,1.220703125,0.244140625,0.9765625,-0.9518112735374004,-0.1395306253242591,-0.2653889584032716,20.125,13.0,-13.375
42.5,-0.1220703125,0.54931640625,-0.1220703125,-0.945951719718009,-0.1273232215338602,-0.271858882412183,22.9375,12.5625,-11.25
43.0,0.244140625,0.1220703125,0.1220703125,-0.9483932004760888,-0.129642628254036,-0.2684408093508713,22.1875,13.0,-10.875
43.5,-0.244140625,0.1220703125,0.1220703125,-0.9513229773857844,-0.1282998138370921,-0.2700277718436231,22.5625,14.0625,-11.25
44.0,0.06103515625,0.30517578125,-0.06103515625,-0.9480269783623768,-0.1284218878749962,-0.271248512222663,24.3125,15.5625,-14.25
44.5,-0.1220703125,0.1220703125,0.1220703125,-0.9498580889309366,-0.1272011474959563,-0.2738120670186468,21.5,15.1875,-11.25
45.0,12.5732421875,-17.39501953125,10.07080078125,-0.9619434186834316,-0.075807977538377,-0.2661214026306955,21.5,11.4375,-12.125
45.5,-1.77001953125,2.0751953125,0.30517578125,-0.9748832667012544,-0.1053498947111423,-0.1975157933286538,21.875,13.375,-11.75
46.0,-0.48828125,2.44140625,4.39453125,-0.923978392895291,-0.1047395245216223,-0.3427838984344005,22.9375,10.6875,-10.875
